"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kyle Tucker","HOU","58","228","9","33","42","8","7.9%","20.2%",".244",".303",".268",".325",".512",".349",".331","124","3.2","9.9","-2.5","1.5","18345"
"Willy Adames","TBR","54","205","8","29","23","2","9.8%","36.1%",".222",".388",".259",".332",".481",".347",".305","126","2.0","8.5","1.4","1.5","15986"
"Luis Robert","CHW","56","227","11","33","31","9","8.8%","32.2%",".203",".300",".233",".302",".436",".316",".322","100","1.7","1.6","3.4","1.5","20043"
"Jackie Bradley Jr.","BOS","55","217","7","32","22","5","10.6%","22.1%",".168",".343",".283",".364",".450",".352",".305","119","1.3","6.5","2.6","1.5","12984"
"Jake Cronenworth","SDP","54","192","4","26","20","3","9.4%","15.6%",".192",".324",".285",".354",".477",".356",".396","126","-1.0","5.4","2.7","1.4","18036"
"Chris Taylor","LAD","56","214","8","30","32","3","12.1%","25.7%",".205",".344",".270",".366",".476",".364",".370","130","-0.9","7.4","-0.4","1.4","13757"
"Adalberto Mondesi","KCR","59","233","6","33","22","24","4.7%","30.0%",".160",".350",".256",".294",".416",".305",".266","89","3.6","0.5","3.4","1.4","13769"
"Didi Gregorius","PHI","60","237","10","34","40","3","6.3%","11.8%",".205",".285",".284",".339",".488",".348",".309","116","0.4","5.1","2.8","1.4","6012"
"Christian Vazquez","BOS","47","189","7","22","23","4","8.5%","22.8%",".173",".341",".283",".344",".457",".346",".284","115","-2.7","0.8","8.3","1.4","9774"
"Kolten Wong","STL","53","208","1","26","16","5","9.6%","14.4%",".061",".311",".265",".350",".326",".305",".291","93","2.2","0.2","4.5","1.4","12532"
"Whit Merrifield","KCR","60","265","9","38","30","12","4.5%","12.5%",".157",".295",".282",".325",".440",".329",".336","106","0.0","2.0","0.0","1.3","11281"
"Jurickson Profar","SDP","56","202","7","28","25","7","7.4%","13.9%",".150",".293",".278",".343",".428",".335",".334","112","2.7","5.9","0.7","1.3","10815"
"Cavan Biggio","TOR","59","265","8","41","28","6","15.5%","23.0%",".182",".311",".250",".375",".432",".355",".313","122","0.8","8.0","-1.5","1.3","19252"
"Starling Marte","- - -","61","250","6","36","27","10","4.8%","16.4%",".149",".319",".281",".340",".430",".333",".321","108","2.1","4.8","0.7","1.3","9241"
"Michael Brantley","HOU","46","187","5","24","22","2","9.1%","15.0%",".176",".336",".300",".364",".476",".362",".325","133","-1.6","6.1","0.7","1.3","4106"
"Ramon Laureano","OAK","54","222","6","27","25","2","10.8%","26.1%",".153",".270",".213",".338",".366",".315",".340","103","0.7","1.4","4.0","1.3","17128"
"Robbie Grossman","OAK","51","192","8","23","23","8","10.9%","19.8%",".241",".267",".241",".344",".482",".351",".325","127","2.0","8.3","-2.0","1.3","5254"
"Maikel Franco","KCR","60","243","8","23","38","1","6.6%","15.6%",".179",".298",".278",".321",".457",".329",".305","106","-0.7","1.1","1.1","1.3","12179"
"Jeff McNeil","NYM","52","209","4","19","23","0","9.6%","11.5%",".142",".335",".311",".383",".454",".360",".335","131","-2.5","5.9","0.9","1.2","15362"
"Cody Bellinger","LAD","56","243","12","33","30","6","12.3%","17.3%",".216",".245",".239",".333",".455",".337",".369","113","0.5","4.5","-0.9","1.2","15998"
"Brian Anderson","MIA","59","229","11","27","38","0","9.6%","28.8%",".210",".323",".255",".345",".465",".348",".323","121","0.6","6.8","-0.9","1.2","18289"
"Marcus Semien","OAK","53","236","7","28","23","4","10.6%","21.2%",".152",".260",".223",".305",".374",".299",".281","91","1.8","-0.7","4.4","1.2","12533"
"Lourdes Gurriel Jr.","TOR","57","224","11","28","33","3","6.3%","21.4%",".226",".351",".308",".348",".534",".372",".345","134","-2.2","7.1","-1.4","1.1","19238"
"Tommy La Stella","- - -","55","228","5","31","25","1","11.8%","5.3%",".168",".276",".281",".370",".449",".355",".346","128","-2.2","5.6","-2.0","1.1","12371"
"Nick Ahmed","ARI","57","217","5","29","29","4","8.3%","21.2%",".136",".324",".266",".327",".402",".318",".302","96","2.1","0.9","2.9","1.1","12147"
"J.P. Crawford","SEA","53","232","2","33","24","6","9.9%","16.8%",".083",".303",".255",".336",".338",".303",".315","95","-0.2","-1.8","4.9","1.1","15491"
"Aaron Hicks","NYY","54","211","6","28","21","4","19.4%","18.0%",".189",".256",".225",".379",".414",".351",".372","124","2.6","8.7","-3.3","1.1","5297"
